Llistat de Vins,quin és el tipus de vi que t'agrada?,estil,pressupost /preu,nivell d'atreviment
missatger autòcton,blanc,aromàtic,27,clàssic
soci  ,blanc,sec,28,una mica diferent
connexió còsmica,blanc,sec,30,em vull deixar portar
cucu barco del corneta,blanc,aromàtic,28,clàssic
quinta do couselo,blanc,sec,38,clàssic
petit chablis ,blanc,aromàtic,48,una mica diferent
gelber muskateler muster,blanc,aromàtic,58,em vull deixar portar
arracades de la mar,taronja,menys contacte pells,29,una mica diferent
orange censurat,taronja,menys contacte pells,35,em vull deixar portar
sarau ,taronja,més contacte pells,28,em vull deixar portar
amat rosat,rosat,més cos,27,clàssic
els nanos,rosat,més cos,30,clàssic
pell de seda,rosat,més suau,29,una mica diferent
abrunet rosat,rosat,més suau,26,em vull deixar portar
corrent negre,negre,menys cos,28,clàssic
gratitud ,negre,menys cos,32,em vull deixar portar
estrem,negre,més cos,35,una mica diferent
vespres,negre,més cos,36,clàssic
inici,negre,més cos,42,clàssic
volador,negre,més cos,27,clàssic
haleluya,negre,més cos,42,clàssic
missatger negre,negre,més cos,28,clàssic
conde valdemar,negre,més cos,28,clàssic
cepa 21,negre,més cos,42,clàssic
contino,negre,més cos,48,clàssic
château des Jacques Morgon,negre,més cos,65,una mica diferent
foradori rosso,negre,menys cos,58,em vull deixar portar
at roca brut nature,escumós,mètode tradicional,36,clàssic
joan rubió xarel·lo,escumós,ancestral,30,em vull deixar portar
llopart brut rosé,escumós,mètode tradicional,36,clàssic
portium,escumós,mètode tradicional,32,clàssic
champagne heidssick brut reserva,escumós,mètode tradicional,105,una mica diferent
